label,method,url,http_version,host,user_agent,pragma,cache_control,accept,accept_encoding,accept_charset,language,cookie,content_type,content_length,connection,body,classification
Anomalous,GET,/tienda1/miembros/imagenes/ogono.jpg~,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=14ED71EB04B804DD63F2A6095625699A,,,close,,1
Normal,GET,/tienda1/publico/caracteristicas.jsp?id=1,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=9C8221A442CD4ED989828FA074617BC6,,,close,,0
Normal,GET,/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=0E85B44CF4F44110B9F4A8E58F2B0A88,,,close,,0
Anomalous,GET,/tienda1/imagenes/cmenbul.gif/asf-logo-wide.gif~,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=3135D64236C583367154089332989118,,,close,,1
Normal,POST,/tienda1/publico/pagar.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=AB80E613E16340184EBE6622173DFF2A,application/x-www-form-urlencoded,Content-Length: 38,Connection: close,modo=insertar&precio=7613&B1=Confirmar,0
Anomalous,POST,/tienda1/miembros/editar.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=009B52E666CC3113EE8FC0F97958FE26,application/x-www-form-urlencoded,Content-Length: 262,Connection: close,modo=registro&login=gabrila&password=2r092ri06s6&nombre=Iverna&apellidos=Vilardaga+Bedmar&email=boxleitner-cremiewx%40novisa.tv&dni=59188627J&direccion=Calle+Alfredo+Blanco+25+&ciudad=Peleas+de+Abajo&cp=19278&provincia=Salamanca&ntc=224822296312183A&B1=Registrar,1
Normal,POST,/tienda1/publico/pagar.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=80A00D47511ADE67EADB1F493CDFAE39,application/x-www-form-urlencoded,Content-Length: 43,Connection: close,modo=insertar&precio=2217&B1=Pasar+por+caja,0
Anomalous,PUT,/tienda1/publico/autenticar.jsp,HTTP/1.1,localhost:9090,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,,"x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=A9377FF6881D70CBCE4222F86935B985,application/x-www-form-urlencoded,Content-Length: 62,Connection: close,modo=entrar&login=northrop&pwd=desbullar&remember=on&B1=Entrar,1
Anomalous,POST,/tienda1/miembros/editar.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=14DC761F107918BEA61734F8B6C0913C,application/x-www-form-urlencoded,Content-Length: 233,Connection: close,modo=registro&login=vester1&password=20t4r4i73dA&nombre=Raidon&apellidos=Arnan+Osma&email=kim%40donkr.yu&dni=71693604M&direccion=Pl.+Carmen+Conde%2C+19%2C+4F&ciudad=La%2Fyana&cp=17114&provincia=Soria&ntc=0725845143206515&B1=Registrar,1
Anomalous,POST,/tienda1/publico/entrar.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=EAACE13AA1F1A9238FB49B52600BD21A,application/x-www-form-urlencoded,Content-Length: 73,Connection: close,errorMsg=bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org,1
Normal,GET,/tienda1/publico/caracteristicas.jsp?id=1,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=E66151636C31112773ED500D9B11DB6C,,,close,,0
Normal,GET,/tienda1/imagenes/1.gif,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=5533D653EE6C0199EA259E23F83A5F05,,,close,,0
Normal,GET,/tienda1/miembros/editar.jsp?modo=registro&login=averyl&password=subidor&nombre=Valentianiano&apellidos=Seti%E9n+Cardona&email=kavanaugh%40corjet.org&dni=95726092T&direccion=Calle+Benifallim+97+10%3FE&ciudad=Utrera&cp=20159&provincia=Badajoz&ntc=5856365245432307&B1=Registrar,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=FEAF1361D63A051EF6EF1A423D161A7A,,,close,,0
Normal,GET,/tienda1/publico/anadir.jsp?id=3&nombre=Jam%F3n+Ib%E9rico&precio=100&cantidad=9&B1=A%F1adir+al+carrito,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=2345AA999F9132F6BC96084619D74E55,,,close,,0
Anomalous,PUT,/tienda1/publico/registro.jsp,HTTP/1.1,localhost:9090,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,,"x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=DE992E34F861EA7F82BD2E4EA85568E0,application/x-www-form-urlencoded,Content-Length: 269,Connection: close,modo=registro&login=delly&password=barboquEjO&nombre=Celinda&apellidos=Cusicanqui+Lluch&email=treacy%40conac.com.bw&dni=06685986R&direccion=C%2F+Poeta+Miguel+Hernandez%2C+85%2C+13%3FC&ciudad=Escorial%2C+El&cp=12300&provincia=Pontevedra&ntc=3155444527951741&B1=Registrar,1
Normal,GET,/tienda1/imagenes/cmenbul.gif,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=A1A864426493C84A27FB2D3927DAE8E1,,,close,,0
Normal,GET,/tienda1/publico/registro.jsp?modo=registro&login=zauhar&password=deshon7oso&nombre=Allegra&apellidos=N%FA%F1ez&email=griffith_chesbro%40psykoterapeut.sn&dni=84166910C&direccion=Aguila+S%2FN%2C+6-G&ciudad=Castellol%ED&cp=06443&provincia=Vizcaya&ntc=6819239674494837&B1=Registrar,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=D9F6B7703846ACAF3C3783FD831347CB,,,close,,0
Normal,POST,/tienda1/publico/caracteristicas.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=FEC7AD2680A91340746363BF6F082DAA,application/x-www-form-urlencoded,Content-Length: 4,Connection: close,id=1,0
Normal,GET,/tienda1/miembros/editar.jsp?modo=registro&login=corkstow&password=op%F3sito&nombre=Karel&apellidos=Arceo+Feliu&email=oconor%40italianmotorvillagesevilla.sm&dni=88301886X&direccion=Calle+Congreso+7%2C+11%3FC&ciudad=Arganza&cp=09193&provincia=Navarra&ntc=6135978760612674&B1=Registrar,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=114734E5AF18C5564DC9AF44849A1DA0,,,close,,0
Anomalous,POST,/tienda1/publico/anadir.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=81AA0D0FD720B7F86CFE662BB441222E,application/x-www-form-urlencoded,Content-Length: 75,Connection: close,id=1&nombre=Jam%F3n+Ib%E9rico&precio=39&cantidad=82&B1A=A%F1adir+al+carrito,1
Normal,GET,/tienda1/publico/entrar.jsp?errorMsg=Credenciales+incorrectas,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=27DF64D3DC675F4757EEB546C2B8440F,,,close,,0
Normal,GET,/tienda1/publico/entrar.jsp?errorMsg=Credenciales+incorrectas,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=A159BE8891CE3A8A136DC70A92E0B15F,,,close,,0
Anomalous,GET,/tienda1/publico/autenticar.jsp?modo=%7C&login=akhtar6&pwd=56s5r6sa&remember=off&B1=Entrar,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=AFA5562CFCF1CA712AEDF05C74120739,,,close,,1
Normal,GET,/tienda1/imagenes/3.gif,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=1817C05D5FEE2AC252B5DAC1F1C46848,,,close,,0
Anomalous,GET,/tienda1/publico/vaciar.jsp?B2A=Vaciar+carrito,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=07325458AEB00E3576A5CB88F99B20F5,,,close,,1
Normal,GET,/tienda1/global/estilos.css,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=9B7D16A84E94CFC7C301B365E4B88EB8,,,close,,0
Normal,GET,/tienda1/global/creditos.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=03498D06A8C625BF2FB1C93C22764AFB,,,close,,0
Normal,GET,/tienda1/publico/autenticar.jsp?modo=entrar&login=alfi&pwd=G46r2CH4&remember=on&B1=Entrar,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=101586B4CAFCF714775EB34AD8DA9C2A,,,close,,0
Normal,POST,/tienda1/publico/autenticar.jsp,HTTP/1.1,localhost:8080,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,JSESSIONID=2012BE7232581604474356B471BEA9CF,application/x-www-form-urlencoded,Content-Length: 61,Connection: close,modo=entrar&login=brunstin&pwd=decidir&remember=off&B1=Entrar,0
